"workerid","nat","age","gender","race","region","gendCom","raceCom","regCom","genCom","name1","conttype2","context","trialtype","content","qtype","conttype","naturalness","comment","experiment"
"S_28","Y","50s","M","CAU","MA",NA,"","","","Matt","c2","neut","evenh","solve","pnq","c1",98,"","exp3a"
"S_28","Y","50s","M","CAU","MA",NA,"","","","Lily","c2","neut","snpi","anything","pq2","c1",31,"","exp3a"
"S_186","Y","20s","M","CAU","MW",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",18,"","exp3a"
"S_186","Y","20s","M","CAU","MW",NA,"","","","Alice","c2","neg","mnpi","lift","evenq","c1",0,"","exp3a"
"S_186","Y","20s","M","CAU","MW",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",100,"","exp3a"
"S_186","Y","20s","M","CAU","MW",NA,"","","","Jacob","c2","neut2","evenl","grain","pnq","c1",30,"","exp3a"
"S_186","Y","20s","M","CAU","MW",NA,"","","","Lydia","yespre2","c1","filler","someclimb","noever2","c2",80,"","exp3a"
"S_186","Y","20s","M","CAU","MW",NA,"","","","Matt","c2","neut","evenh","solve","pq","c1",15,"","exp3a"
"S_186","Y","20s","M","CAU","MW",NA,"","","","Roy","c2","neut","snpi","ever","evenpnq","c1",0,"","exp3a"
"S_389","Y","20s","M","CAU","SO",NA,"","","","Prue","TRUE","c1","filler","base1c","res","TRUE",30,"","exp3a"
"S_389","Y","20s","M","CAU","SO",NA,"","","","Lydia","yespre","c1","filler","someclimb","yesever","c2",21,"","exp3a"
"S_389","Y","20s","M","CAU","SO",NA,"","","","Andrew","c2","neut2","mnpi","clue","pq","c1",87,"","exp3a"
"S_389","Y","20s","M","CAU","SO",NA,"","","","Carrie","c2","neut","evenl","hint","evenpnq","c1",73,"","exp3a"
"S_389","Y","20s","M","CAU","SO",NA,"","","","Dean","TRUE","c1","filler","base2c","res","TRUE",100,"","exp3a"
"S_389","Y","20s","M","CAU","SO",NA,"","","","Roy","c2","neg","snpi","anytime","pnq","c1",100,"","exp3a"
"S_389","Y","20s","M","CAU","SO",NA,"","","","Sally","c2","pos","evenh","call","evenq","c1",60,"","exp3a"
"S_430","Y","20s","M","CAU","SO",NA,"","","","Prue","TRUE","c1","filler","base1c","res","FALSE",33,"","exp3a"
"S_430","Y","20s","M","CAU","SO",NA,"","","","Roy","c2","neg","snpi","anytime","pnq","c1",100,"","exp3a"
"S_430","Y","20s","M","CAU","SO",NA,"","","","Sally","c2","pos","evenh","call","evenq","c1",36,"","exp3a"
